ObjectID,Accession Number,Object Number,Sort Number,Department,Classification,Acquisition Method,Object Status,Artist/Maker,Title,Object Name (Ctrl + Insert),Dated,Materials / Techniques,Dimensions,Description,Credit Line (Ctrl + Insert),Culture (Ctrl + Insert),Period/Dynasty (Ctrl + Insert),eMuseum Label Text
8705,1970.79A,,1970    79A,Modern and Contemporary Art,Drawings / Watercolors,Purchase,Permanent Collection,Robert Smithson,Spiral of Pumice,drawing,1970,Pencil on white paper,Overall: 24 × 19 in. (61 × 48.3 cm),,Fund for Contemporary Art,American,,"In the mid-1960s Smithson began a series of minimalist sculptural works that delved into questions of environment, geography, site, and nature.  These culminated in his monumental Spiral Jetty of 1970 that was installed in Utah's Great Salt Lake, and which used rocks and materials from the bank of the lake to create a spiral-shaped form that referred to such ancient earthworks as Ohio's snake mounds or Egypt's pyramids.  This drawing was made by Smithson at the time he was working on that project."
229,1970.79B,,1970    79B,Modern and Contemporary Art,Time-Based Media,Purchase,Permanent Collection,Robert Smithson,Spiral Jetty,film,1970,16mm color film,Duration: 35 minutes,"Spiral Jetty, Great Salt Lake, Utah. A swirling, 1500-foot-long landmass comprised of rock, dirt, and salt that extends out from the shore into the Great Salt Lake.",Fund for Contemporary Art,American,,"Robert Smithson was part of a generation of Land Artists in the 1960s and 1970s which rejected the confines of urban art galleries, moving into the natural world to create monumental sculptural works. The primary artistic medium was often an element of the land itself. Smithson created this film to record the construction of his work <i>Spiral Jetty</i> (1970), a 1600-foot-long coil of basalt rock jutting into the Great Salt Lake in Utah. Smithson chose the location due to the blood-red color of the water, which hid and revealed his sculpture with changes in the water level. In recent years, the Great Salt Lake has shrunk considerably due to extractive water use and rising temperatures. <i>Spiral Jetty</i> is now beached on the exposed lakebed, hundreds of feet from the water’s edge."
12544,1970.84,,1970    84,Asian Art,Paintings,Not Specified,Permanent Collection,Tibetan,The Arhats Rāhula and Nakula,painting,ca. 1750,Painted linen,Overall: 31 3/4 × 19 1/4 in. (80.6 × 48.9 cm),"Rahula; Sanskrit: Rāhula; Tibetan: Dragchenzin (Sgra-gchan-jin).  A thangka painting of the Arhat Rāhula, identifiable by the crown he holds. Consecration inscription on the back.",Allen Memorial Art Museum,Tibetan,,"This work was once part of a series of Tibetan hanging scroll paintings (<i>thangka</i>) that represented the sixteen disciples of Shakyamuni Buddha, often called arhats but in Tibetan Buddhism more properly called “elders” (<i>sthavira</i>). These paintings, along with images of the Buddha and other figures, would have been displayed for special events at a monastery.<br>
<br>
The two elders appear with attendants in a lush garden setting, surrounded by plants, flowers, and colorful blue and green garden rocks—a way of representing magical places adopted from Chinese art. Rāhula, who was the son of Shakyamuni, is the larger figure at the center facing us. He holds a crown, a gift from the gods to whom he preaches. Seated below him is Nakula, also called Bakula, who holds a mythical jewel-spitting mongoose, symbolizing his power to bestow material needs to the faithful. An attendant is catching the jewels in a bowl.<br>
<br>
The painting reflects the Khyenri style of central Tibet. The small figure in the upper left is Dromton Gyalwai Jungne (1005–1064), the principal disciple of of Atisha, the founder of the Kadampa School, which connects this work with that school. The small buddha figures on the sides are from a set known as the Thirty-five Buddhas of Confession of Downfalls. All are identified in minuscule gold script."
10511,1971.3,,1971     3,Asian Art,Manuscripts,Gift,Permanent Collection,Indian,Piran Brought Before Rag Khusraw,manuscript page,early 17th century,Tempera and gold on paper,"Image: 8 15/16 × 5 7/16 in. (22.7 × 13.8 cm)
Overall: 16 1/2 × 10 3/4 in. (41.9 × 27.3 cm)",,Gift of Paul F. Walter (OC 1957),Indian,Mughal Dynasty (1526 - 1858),"This folio, arguably among the most precious pieces in the AMAM’s collection of Islamic art, depicts an episode from the Shahnameh (The Book of Kings), the national epic of Persia. The text was composed by Abu’l Qasim Ferdowsi (AD ca. 935-1020) in the late tenth and early eleventh centuries at the court of Mahmud of Ghazna, Turkish ruler of the northeastern province of the Muslim world. 
<br><br>
The Shahnameh covers the history of Persia and its people from the creation of the world to the Arab conquest in the 7th century. Its length runs to nine volumes, including over 50,000 verses.  Its literary content and vast temporal span covering many legendary and historical figures place the text among the masterpieces of world literature, such as the Iliad and the Odyssey. With its emphasis on the concept of justice, the Shahnameh is an example of Muslim advice literature known as the “Mirror for Princes.”  
<br><br>
This folio depicts the story of Piran, a nobleman of the region of Turan in Central Asia. In it the artist shows a keen interest in naturalistic representation as observed in the carefully modeled human and animal figures that are placed in a three-dimensional, receding space with naturalistic rock forms. The artist’s acute sense of light and shadow further enhances the psychological dimension of the painting as the two pairs of figures exchange words.
"
191,1971.4,,1971     4,Asian Art,Sculpture,Gift,Permanent Collection,Nepalese,Vajrapāṇi Bodhisattva,sculpture,12th century,Gilded bronze,Overall: 5 × 3 3/8 × 3 1/16 in. (12.7 × 8.6 × 7.8 cm),,Gift of Paul F. Walter (OC 1957),Nepalese,Malla Period (1200 - 1479),"The bodhisattva Vajrapāṇi can be identified by the vajra they hold, here in the proper right hand. The vajra, <i>dorje</i> in Tibetan, is a small ritual scepter (seen below) that symbolizes many things in Vajrayana Buddhism. The vajra was originally the god Indra’s weapon, a lightning bolt, but in a Buddhist context first came to symbolize the power of Vajrapāṇi as a protector of Buddhism, and later the power of a concentrated mental state of awareness.<br>
<br>
Vajrapāṇi is one of the three oldest and most important bodhisattvas in Buddhism, representing the power of all of the buddhas, where Avalokiteśvara represents their compassion, and Mañjuśrī represents their wisdom. This version of Vajrapāṇi sits in the posture of “royal ease,” with one leg reaching down as if about to leave their seat and take action to protect or assist a believer."
15362,1971.5,,1971     5,Asian Art,Sculpture,Gift,Permanent Collection,Tibetan,"Seated Bodhisattva, probably Avalokiteśvara",sculpture,16th–17th century,Gilded bronze,Overall: 6 1/2 × 4 3/4 × 4 in. (16.5 × 12.1 × 10.2 cm),,Gift of Paul F. Walter (OC 1957),Tibetan,,"This bodhisattva is probably another form of the Bodhisattva of Compassion, Avalokiteśvara. Although it lacks the Amitābha in the crown that would help to identify it more firmly, it holds a lotus and has a deer skin (<i>krishnasara</i>) worn on one shoulder (see #1). This bodhisattva also forms the gesture of generosity (<i>varada mudrā</i>) with their right hand.<br>
<br>
This sculpture is adorned with beautiful inlaid semi-precious stone earrings. Notice that the gold of the face is a slightly different color than the rest of the sculpture. Gilding of sculptures was typically done by mixing gold and mercury, painting the mixture on the sculpture, and then heating it to evaporate the mercury, repeating the process for an even tone. In later periods the final stage of decoration involved carefully painting the deity’s face with “cold gold” paint, which appears more matte, and the hair with blue. Buddhas and bodhisattvas are described in texts as having deep blue-black hair."
15850,1971.27,,1971    27,Asian Art,Sculpture,Gift,Permanent Collection,Nepalese,Crowned Śākyamuni Buddha,sculpture,14th-15th century,Gilded bronze,Overall: 6 1/4 × 4 1/2 × 3 1/2 in. (15.9 × 11.4 × 8.9 cm),,Gift of Paul F. Walter (OC 1957),Nepalese,Khasa Malla Kingdom (11th-14th centuries),"Although in earlier forms of Buddhism, buddhas appeared in simple monk’s robes, in Tibetan Buddhism a buddha wearing a crown typically indicates that he is one of the Five Tantric Buddhas. Each of these buddhas heads a “family” of other deities, and the five often appear together arranged in a <i>maṇḍala</i>, a multifaceted symbolic map of an enlightened universe. <br>
<br>
Much less common are icons like this one, that portray Śākyamuni Buddha, the buddha of our era, wearing a crown and with his right hand in the earth-touching gesture (<i>bhūmisparśa mudrā<i>). Some scholars interpret the crown as representing the Buddha is his role as “Wheel-Turning King,” or <i>Ćakravartin<i>, the ideal of an enlightened universal ruler. In Crowned Śākyamuni icons, the Buddha still wears the simple robes of a monk, whereas the Five Tantric Buddhas wear the more complex robes of peaceful deities like bodhisattvas. <br>
<br>
The style of this work helps to date it to the long Malla Period in Nepal (1200–1769), when artists from the Newar people of the Kathmandu Valley produced some of the most beautiful and influential works of Tibetan Buddhist art."
13807,1971.28,,1971    28,Asian Art,Sculpture,Gift,Permanent Collection,Tibetan,Teacher (Lama),sculpture,17th–18th century,Gilded bronze,Overall: 5 3/8 × 3 15/16 × 2 13/16 in. (13.7 × 10 × 7.1 cm),,Gift of Paul F. Walter (OC 1957),Tibetan,,"Often misunderstood as referring to any Tibetan Buddhist monk, the term <I>lama</I> means “teacher,” and was traditionally reserved for high-ranking masters or leaders of monasteries. The lama's distinctive hat identifies him as a member of the Gelug (dge lugs) order, one of the four main branches of Tibetan Buddhism. The popular name for this group, the Yellow-hat school, refers to the hat seen here, a yellow, pointed hats Gelug lamas wear in certain ritual contexts. This monastic order was the dominant religious and political power in Tibet from the 16th to the 20th centuries. The long life vase that he holds may indicate that the sculpture is a portrait of the Fifth Dalai Lama, Ngawang Lobsang Gyatso (1617–1682).
"
6382,1971.29D,,1971    29D,Modern and Contemporary Art,Photographs,Purchase,Permanent Collection,Ansel Adams,"Moon and Clouds, Northern California, plate 4 from Portfolio V",gelatin silver print,"1959, published ca. 1970",Gelatin silver print,Overall: 15 × 19 1/2 in. (38.1 × 49.5 cm),,Friends of Art Fund,American,,"In pure, elegant images, Adams presents a spiritually infused view of the natural world that encourages viewers to witness for themselves the beauty and power of nature.  Light--cosmic, revealing--is the most significant element in Adams's photographs; most of his images were shot in the early morning, late afternoon, or in stormy weather to capture the fleeting effects of light.  Adams was also an influential conservationist and lobbied tirelessly for environmental concerns."
3477,1971.29G,,1971    29G,Modern and Contemporary Art,Photographs,Purchase,Permanent Collection,Ansel Adams,"The Black Sun, Tungsten Hills, Owens Valley, California, plate 7 from Portfolio V",gelatin silver print,"1939, printed ca. 1970",Gelatin silver print,Overall: 15 × 19 1/2 in. (38.1 × 49.5 cm),,Friends of Art Fund,American,,"A black sun floats over the landscape of the American West, at once casting light and a sense of foreboding over the landscape. When Adams took this photo in 1939, Tungsten Hills was still home to a major mining operation. Rather than aim his camera at the burgeoning industry nearby, Adams characteristically captures the land’s natural features with dramatic tonal contrast. This image participates in the rhetoric of manifest destiny, and a tradition of depicting U.S. landscapes—particularly in the West—as uninhabited and ripe for development and exploration."
7325,1971.29J,,1971    29J,Modern and Contemporary Art,Photographs,Purchase,Permanent Collection,Ansel Adams,"Pipes and Gauges, West Virginia, plate 10 from Portfolio V",gelatin silver print,"1939, printed ca. 1970",Gelatin silver print,Overall: 15 × 19 1/2 in. (38.1 × 49.5 cm),,Friends of Art Fund,American,,"Ansel Adams is best known for his photographs of national parks, which cemented popular ideas of the majestic American wilderness and turned Adams into an icon of the environmental movement. Less well known are his photographs of industry, which he photographed on commercial commissions to support his family. In this photograph, Adams captures the grimy pipes and gauges of a West Virginian factory. With his signature eye for tonal values and composition, the artist turns the shadowy inner workings of the factory into an anthropomorphic object of aesthetic contemplation."
8778,1971.36,,1971    36,Modern and Contemporary Art,Drawings / Watercolors,Purchase,Permanent Collection,Chuck Close,"Study for ""Kent""",drawing,1970,Watercolor and pencil grid on paper,"Image: 19 1/4 × 15 in. (48.9 × 38.1 cm)
Sheet: 29 15/16 × 22 7/16 in. (76 × 57 cm)
Frame: 41 × 33 × 1 1/2 in. (104.1 × 83.8 × 3.8 cm)","Segments of a man's face, in several colors.",Mrs. F. F. Prentiss Fund,American,,"In the mid-1960s, Chuck Close abandoned his earlier abstract painting style for one more photo-based. In 1968, he began using passport-style images of himself, family, and friends to create colossal portrait heads that appear dispassionate and meticulously detailed even as they dissolve into quasi-pointillist painted areas when seen at close range. 
<br><br>
To start, Close overlaid a photograph with a grid and then transferred the image to canvas, square by square. Originally working only in black and white, he turned to color in 1970, limiting himself to the three primary colors, which he mixed together on the work's surface. His process was borrowed from commercial printing in which colors are produced by superimposing layers of transparent color. A transparency of red, blue, and yellow color separations would be made of the original photograph, with dye-transfer sheets produced from those in various combinations. Close used these as a guide in the coloring of the final work, which would be created with the use of numerous working drawings; the AMAM's <I>Study</I> is just one of several drawings for the final, monumental painting <I>Kent</I> (100 × 90 in.; Art Gallery of Ontario). In Oberlin's example, the three colors are shown separately at lower left, with twelve combinations in the same row. The transparent medium of watercolor allows the colors to be overlaid, rather than overtly mixed. 
<br><br>
In 1970, the year of this work, Close had one of his earliest exhibitions, <I>Three Young Americans</I>, at the AMAM, along with Ron Cooper and Neil Jenney. Such exhibitions of the work of emerging American artists were prevalent at Oberlin in the late 1950s, '60s, and '70s. 
"
5118,1971.38,,1971    38,European Art,Drawings / Watercolors,Purchase,Permanent Collection,Jacopo da Empoli,St. Ives with Widows and Orphans,drawing,1616,"Pen and brown ink,with brush and brown wash, over black chalk","Sheet: 16 × 10 15/16 in. (40.7 × 27.8 cm)
Mount: 20 5/16 × 14 1/2 in. (51.6 × 36.8 cm)","St. Ives of Kermartin known as the advocate for the poor, patron saint of lawyers and Brittany, is enthroned with angels flanking. There is a crowd of people around him described as orphans and widows. Attributes are a rolled piece of paper and a purse, both evident in this composition. Saint, services, canonization.",Charles F. Olney Fund,Italian,,"The drawing is either the final working drawing for a painting of the same subject that Empoli executed for the office of the magistrate of the orphans in Florence, or perhaps a drawing after the finished painting.  Here, Ives, a French lawyer renowned as a protector of the poor, orphans, and widows, offers counsel, while putti shower them with roses, an act signifying divine blessing."
2225,1971.45,,1971    45,Modern and Contemporary Art,Paintings,Purchase,Permanent Collection,Hans Hofmann,Landscape,painting,1942,Oil on plywood,"Overall: 24 × 29 7/8 in. (61 × 75.9 cm)
Frame: 24 7/8 × 30 3/4 × 1 1/4 in. (63.2 × 78.1 × 3.2 cm)",,General Acquisitions Fund,American,,"Hans Hofmann emigrated from Germany to New York in 1932, where he taught at the Art Students League before opening his own school. His broad knowledge of current developments in European art influenced his teaching, and for many students in New York in the 1930s and '40s, he came to embody the introduction of modern European art to America. Hofmann's influence on the Abstract Expressionists was great, and, in 1942, the year of this painting, he began experimenting with drip painting, and met Jackson Pollock. 
<br><br>
The saturated colors and strong gestures of <I>Landscape</I> attest to Hofmann's belief that the artist's medium and the space depicted in a work should be dynamic and appear to be constantly shifting; in this way, they anticipate the effects of color and composition in many works from the late 1940s and '50s. Although it appears nonrepresentational, the viewer still gets a sense of its subject, a landscape. Hofmann stated, 

<blockquote>Art does not consist in the objectified imitation of reality. .!.!. [F]orm receives its impulse from nature, but it is nevertheless not bound to objective reality; rather it depends to a much greater extent on the artistic experience evoked by objective reality and the artist's command of the spiritual means of the fine arts, through which this artistic experience is transformed by him into reality in painting. Creative expression is thus the spiritual translation of inner concepts into form.</blockquote> 

The painting was purchased from Oberlin alumnus André Emmerich (1924-2007), who was an important gallery owner in New York, working both with Color Field painters and other contemporary artists, as well as with Central and South American works of art.
"
8153,1971.51,,1971    51,Modern and Contemporary Art,Photographs,Gift,Permanent Collection,Ansel Adams,"Noon Clouds, Glacier National Park, Montana",gelatin silver print,1942,Gelatin silver print,Overall: 7 3/8 × 9 1/4 in. (18.7 × 23.5 cm),,Gift of Mr. and Mrs. Carl Kinney,American,,"Ansel Adams's youthful dream of becoming a concert pianist was eventually replaced by a lifelong pursuit of photography. His lyrical, sublime landscapes of the American West transcend mere fact to express the symphonic in nature. Adams began taking photographs around 1916, when his parents gave him a small Brownie camera. After meeting photographers Edward Weston in 1927 and Paul Strand in 1930, he abandoned his earlier pictorial style for ""pure"" photography. In 1932, Adams and six other San Francisco photographers-Imogen Cunningham, John Paul Edwards, Sonya Noskowiak, Henry Swift, Willard Van Dyke, and Weston-created a group they called <I>f/64</I>, after the large-format view camera's smallest aperture, which provides the greatest depth of field. The group exhibited together only once, at San Francisco's De Young Museum in 1932; later that year, Adams had his first one-man show there. 
<br><br>
Adams experimented with different cameras and techniques, using papers with a high gloss, employing long exposures with the aperture set at f/64, and pioneering a system that enabled him to capture an impressive range of light values based on a scale of ten zones ranging from black to white. In determining his compositions and exposures, Adams exploited the critical role that can be played by middle tones. <I>Noon Clouds</I> is a spectacular example of Adams's use of his zone system to capture-with remarkable clarity-both near and far details, while also suggesting the transient nature of the cumulus clouds floating above the mountains. 
<br><br>
Adams exerted full control over the development of his images, including their final printing. Brilliant in description and technical precision, photographs like this one celebrate his deep reverence for nature. A preservationist who joined the Sierra Club at the age of seventeen, Adams made powerful photographs of some of the country's most dramatic landscapes. They remain as popular today as they were in his lifetime. 
"
4359,1971.52,,1971    52,European Art,Sculpture,Purchase,Permanent Collection,Francesco Bertos,Fall of Icarus,sculpture,early 18th century,Bronze,Overall: 23 1/2 × 12 × 10 in. (59.7 × 30.5 × 25.4 cm),,"Mrs. F. F. Prentiss Fund, Friends of Art Endowment Fund and Special Acquisitions Fund",Italian,,"Sculptor Francesco Bertos was active primarily in the Venetian Republic during the early eighteenth century, and was patronized by important collectors of the time, including Peter the Great of Russia. 
<br><br>
His small-scale sculptural groups, like the AMAM example, recall the twisted, elongated forms of his sixteenth-century predecessor Giambologna in their weightlessness, displaying compositions that often require the viewer to move around them in order to fully appreciate their complexity. As art historian Charles Avery has noted, Bertos's skill in working marble led to a charge by the Inquisition in the 1730s that his sculptures were so elaborate that he must have been assisted by the devil; it seemed impossible that anyone could create such gravity defying figures. 
<br><br>
This dynamic, spiral, and pyramidal composition depicts Icarus, who had wings affixed to his back with wax in an attempt to escape Crete with his father, Daedalus. The sun melted the wax and Icarus tumbled to the earth. The figure on the ground is likely a river god, given the urn of water flowing at his side, symbolic of the sea into which Icarus fell; a feather has fallen onto his head. The piece as a whole may represent Fire and Water, as a set of two other known works-showing the Fall of Icarus, and Proserpine and Pluto-is thought to symbolize Fire and Water, Air and Earth. 
<br><br>
The AMAM collection is rich in small bronzes from the Renaissance and Baroque, including two versions of Giambologna's <I>Mercury</I>, and this magnificent sculpture by Bertos continues this tradition into the eighteenth century. 
"
4962,1971.69,,1971    69,European Art,Drawings / Watercolors,Purchase,Permanent Collection,Luca Cambiaso,The Mystic Marriage of St. Catherine,drawing,1570s,"Pen and iron gall ink, gray wash, and traces of graphite",Image/Sheet: 13 3/8 × 9 5/8 in. (33.9 × 24.4 cm),"Ink drawing of the marriage of St. Catherine including the Virgin and a fourth male individual. drapery, virginity, female morality, martyr, stigmata.",Mrs. F.  F. Prentiss Fund,Italian,,"The son of a Genoese painter, Cambiaso was influenced by the Roman fresco painter Perino del Vaga, who had lived in Genoa in the 1520s.  The almost block-like rendering of the figures is a hallmark of the artist's later drawing style.  The work's powerful, close-knit grouping represents a return to canonical High Renaissance images of the Holy Family, away from more complex, Mannerist composition.  Catherine of Alexandria's mystical marriage to Christ, which transpired in a vision after her baptism, was evidence of her extreme devotion.  As a consequence of this union, she later refused to marry the emperor Maxentius, and was tortured on a spiked wheel, visible here to her right.
"
12504,1971.74,,1971    74,Modern and Contemporary Art,Photographs,Gift,Permanent Collection,Edward Weston,Kale-Halved,photograph,1930,Gelatin silver print,Overall: 7 7/16 × 9 7/16 in. (18.9 × 24 cm),,Gift of Mr. and Mrs. Tim Hill,American,,"Weston's desire for depth of focus and sharp cutting photos became more pronounced throughout his career, and can be particularly seen in his still lifes. Often choosing simple objects such as fruit, vegetables, and kitchen utensils, his intimate framing of the forms gave new meaning to the familiar items. In Kale - Halved Weston has given texture and drama to his subject, and forces us to appreciate the quintessence of its form before we fully recognize the object. The artist saw himself as creating a ""clear vision of sheer aesthetic form."""
15377,1971.84,,1971    84,European Art,Prints,Purchase,Permanent Collection,Hendrick Goltzius,The Holy Family,engraving,1593,Engraving,"Image: 18 1/8 × 13 3/4 in. (46 × 34.9 cm)
Sheet: 18 3/4 × 14 in. (47.6 × 35.6 cm)","after a design by Federico Barocci; Holy Family with infant St. John the Baptist; Virgin Mary holds Chrsit Child who embraces St. John; Joseph learning on tree; cat catches bird in window on left; lilies in vase on ground at left; sewing basket and shears on ground at right; scene set within a landscape; prefiguartion 



",General Acquisitions Fund,Dutch,,"This image of the Holy Family is one of the six prints that comprise Goltzius’ The Early Life of the Virgin series of 1593-1594, dedicated to Duke William V of Bavaria (1548-1626).  The series has been deemed Goltzius' masterwork, and in each of the engravings the artist replicated the style of a different old master. According to Van Mander's Schilder-boeck of 1604, Goltzius' imitative skills were so successful that his contemporaries purchased certain prints from this series under the false impression that they were originals by the masters that Goltzius emulated. While he changed the composition slightly, Goltzius based this image of the Holy Family on Federico Barocci's Madonna del Gatto (ca. 1575), which he may have seen in person while visiting Rome, or via Cornelis Cort's two engravings of the painting"
16220,1972.1,,1972     1,European Art,Paintings,Purchase,Permanent Collection,Master of St. Gudule,St. Catherine Disputing with the Scholars,painting,ca. 1490,Oil on panel,"Overall: 14 15/16 × 12 in. (37.9 × 30.5 cm)
Frame: 17 7/8 × 15 3/8 × 1 3/4 in. (45.4 × 39.1 × 4.4 cm)",,Mrs. F. F. Prentiss Fund and General Museum Funds,Flemish,,"This name was given to the painter of the Pastoral Sermon (Louvre) which includes a view of the cathedral of St. Gudule in Brussels.  The expressive and extravagant style of this artist betrays more of a German influence than that of his more restrained Netherlandish precedessors. 

"
14671,1972.11,,1972    11,European Art,Prints,Purchase,Permanent Collection,Albrecht Dürer,SS. Paul and Anthony in the Desert,woodcut,ca. 1504,Woodcut,Overall: 8 3/8 × 5 9/16 in. (21.2 × 14.2 cm),,Friends of Art Fund,German,,"Christianity has long promoted the ideal of saints removing themselves from civilization to pursue solitary lives in the wilderness, where they could dedicate themselves to religious devotion. The model for this was Saint Paul the Hermit (ca. 226/27–ca. 341 CE), who fled into the desert to avoid persecution and lived there for some 97 years.<br>
<br>
Paul was considered to have lived in perfect harmony with the natural world: he clothed himself with leaves from a nearby palm tree and a raven brought him half a loaf of bread daily. Dürer here depicts a legendary episode in which Saint Anthony Abbot goes into the desert to visit Paul and a raven brings them both bread. While Paul (at right) is not dressed in his usual palm fronds, the two men are nonetheless shown coexisting peacefully with the animal and plant life around them, a model for human engagement with the natural world. 
"
3296,1972.15,,1972    15,European Art,Drawings / Watercolors,Purchase,Permanent Collection,Antonio Tempesta,Galloping Warrior,drawing,ca. 1600,Pen and iron gall ink over black chalk on buff-colored laid paper,Sheet: 7 5/16 × 7 3/4 in. (18.5 × 19.7 cm),"Drawing of warrior on horseback in the midst of battle, isolated in middle of the page. equestrian, Mars, soldier, war, iron gall ink, corrosion.",Friends of Art Fund,Italian,,"Tempesta had a great interest in depicting nature, particularly animals, in hunting and battle scenes.  An accomplished fresco painter, he also produced over 1,000 prints, which were widely circulated and were often used as models by other artists.  The present drawing bears a clear relationship to the heads of horses and armed soldier by Stefano della Bella exhibited nearby; Guercino, whose Enraged Mars Restrained by Cupid is also displayed on this wall, copied motifs from Tempesta as well.  The corrosion holes in this spirited drawing are caused by the iron gall ink, which can eat into paper over time."
3980,1972.27,,1972    27,European Art,Prints,Purchase,Permanent Collection,Hans Baldung,St. Martin and the Beggar,woodcut,early 16th century,Woodcut,"Sheet: 9 15/16 × 6 3/4 in. (25.2 × 17.2 cm)
Plate: 9 1/4 × 6 5/16 in. (23.5 × 16 cm)","Saint Martin on horseback, pointing sword at beggar; beggar seated on ground extends right arm in air; horse stares out at viewer; scene set within a landscape; townscape in background at right",Museum Purchase through an anonymous donor,German,,"Early in his career, Hans Baldung worked as a journeyman in Albrecht Dürer’s Nuremberg workshop.  Not yet considered a master in his own right, Baldung was unable to include his own initials on woodcuts he produced during this time.  Instead, many of Baldung’s early woodcuts either lack a signature, or as in this image of St. Martin, incorporate the monogram of his early teacher.  Added to the block only in the second state, Dürer’s monogram is nestled into the distant clouds that hover in this print’s upper right corner.  The inclusion of this well-known monogram, potentially authorized by Dürer himself, undoubtedly increased this print’s popularity and commercial value."
1377,1972.39,,1972    39,Modern and Contemporary Art,Photographs,Purchase,Permanent Collection,Hilla Becher,"Water Cooling Tower, 1969",gelatin silver print,1969,Gelatin silver print,Overall: 23 1/2 × 19 1/4 in. (59.7 × 48.9 cm),,Friends of Art Endowment Fund,German,,"Bernd and Hilla Becher were a married artist duo known for their series of austere photographs of industrial buildings, from water towers to blast furnaces to gas tanks. In their first photobook they make the case for factory buildings like this cooling tower as “anonymous sculpture,” drawing attention to the formal qualities of the structures as if they were monumental artworks displayed throughout the landscape. Presciently recognizing that extractive industries in Europe were entering a period of decline, the Bechers’s archive of industrial photography highlights the aesthetic qualities of these structures and imbues them with a sense of nostalgia."
1400,1972.46,,1972    46,European Art,Prints,Purchase,Permanent Collection,Hieronymus Cock,"The Baths of Diocletian, Rome",etching,1550,Etching,"Image: 9 3/16 × 13 3/16 in. (23.3 × 33.5 cm)
Sheet: 11 9/16 × 14 15/16 in. (29.4 × 37.9 cm)",,Miscellaneous Funds,Flemish,,"Cock was not a part of the Dutch Italianate movement, being an earlier traveler to Rome, probably before 1550, the year he published a set of twenty-five views of Roman ruins. Later in his life, Cock produced numerous etchings based on drawings by other artists, but he was perhaps best known as one of the most important print publishers in sixteenth-century northern Europe. 

His etchings of the restored elevations of the Baths of Diocletian, such as this one, were unusual at the time for their archaeological accuracy. The Baths of Diocletian, originally built in 306 AD, were the largest public baths in Rome and remained in use until 537 AD before falling into decay.
"
11794,1972.48,,1972    48,Modern and Contemporary Art,Textiles,Purchase,Permanent Collection,Joseph Beuys,Felt Suit,suit,1970,Felt,"Overall (jacket): 32 1/2 × 22 in. (82.6 × 55.9 cm)
Overall (trousers): 46 × 16 in. (116.8 × 40.6 cm)",Dray felt jacket and trousers displayed on a wooden hanger.,Fund for Contemporary Art,German,,"In the late 1950s, Joseph Beuys began constructing objects with non-traditional materials, including fat, honey, beeswax, and felt, believing that each possessed specific homeopathic and alchemical properties. Importantly, they all fluctuated with time and changing environmental conditions, enmeshing sculpture with the world around it. These materials also accrued biographical or literary meaning; both fat and felt, for example, figured in a partially fabricated story Beuys told of being rescued by nomadic Tatars after crashing his plane in Crimea during World War II.

In the so-called “crash story” and in many of Beuys’s sculptures, felt serves insulating, protecting, and healing functions, making it the ideal material for a suit that could envelop the whole body. Modeled after one of Beuys’s own suits (with the sleeves and legs elongated), Felt Suit was produced in an edition of 100 and sold for a relatively modest sum. Beuys donned a version of the suit in a Fluxus performance with Terry Fox and again in a demonstration in Switzerland, but expressed utter indifference as to how it was displayed by his collectors, telling one of his publishers, “I don’t give a damn. You can nail the suit to the wall. You can also hang it on a hanger, ad libitum! But you can also wear it or throw it into a chest.”"
3288,1972.50,,1972    50,Modern and Contemporary Art,Paintings,Gift,Permanent Collection,Agnes Martin,East River,painting,1960,Oil on canvas,"Overall: 23 7/8 × 48 in. (60.6 × 121.9 cm)
Frame: 24 3/8 × 48 9/16 in. (61.9 × 123.4 cm)",,Gift of the Museum Purchase Fund Collection (through the American Federation of Arts),American,,"Born on a wheat farm in Saskatchewan, Agnes Martin moved to the United States when she was nineteen years old. She studied art at Columbia University and, later, at the University of New Mexico, becoming a US citizen in 1950. While in Taos in 1956, Martin met New York gallery owner Betty Parsons, who represented New York School artists Mark Rothko, Clyfford Still, Jackson Pollock, Barnett Newman, and Ad Reinhardt. As a result of the meeting, Martin returned to New York where she lived along the East River on Coenties Slip, in the same building as artists Ellsworth Kelly and Robert Indiana. Martin was fascinated by the views of the East River and the Brooklyn Bridge. Her first two solo New York shows (at the Betty Parsons Gallery in 1958 and 1959) comprised abstract paintings that make direct references in their titles to her engagement with nature. 
<br><br>
Martin began making her ""grid"" paintings in 1960, and <I>East River</I> is a prime example of what would become the artist's signature early style. Its serene, contemplative beauty-executed in gray oil paint on primed canvas with the grid drawn in pencil across the wet paint-belies the rigorous work and discipline behind its creation. Carefully drawn horizontal lines are separated by five vertical lines, which, when combined with the edges of the canvas, create six individual panels. Alternatively, the vertical line bisecting the painting suggests a diptych. Although Martin's work was associated with the Minimalists-she was a friend of Barnett Newman, who installed her shows at the Betty Parsons Gallery, and Ad Reinhardt- she herself preferred to think of her work as more closely aligned with artists of the Abstract Expressionist generation. 
"
